date,country,countryCode,province,city,confirmed,suspected,cured,dead,Days,net_confirmed,provinceCode,cityCode
2019-12-01,中国,CN,,,1,0,0,0,-7.0,1.0,,
2019-12-01,中国,CN,Hubei Province,,1,0,0,0,-7.0,1.0,,
2019-12-01,中国,CN,Hubei Province,Wuhan,1,0,0,0,-7.0,1.0,,
2019-12-02,中国,CN,,,1,0,0,0,-6.0,1.0,,
2019-12-02,中国,CN,Hubei Province,,1,0,0,0,-6.0,1.0,,
2019-12-02,中国,CN,Hubei Province,Wuhan,1,0,0,0,-6.0,1.0,,
2019-12-03,中国,CN,,,1,0,0,0,-5.0,1.0,,
2019-12-03,中国,CN,Hubei Province,,1,0,0,0,-5.0,1.0,,
2019-12-03,中国,CN,Hubei Province,Wuhan,1,0,0,0,-5.0,1.0,,
2019-12-04,中国,CN,,,1,0,0,0,-4.0,1.0,,
2019-12-04,中国,CN,Hubei Province,,1,0,0,0,-4.0,1.0,,
2019-12-04,中国,CN,Hubei Province,Wuhan,1,0,0,0,-4.0,1.0,,
2019-12-05,中国,CN,,,1,0,0,0,-3.0,1.0,,
2019-12-05,中国,CN,Hubei Province,,1,0,0,0,-3.0,1.0,,
2019-12-05,中国,CN,Hubei Province,Wuhan,1,0,0,0,-3.0,1.0,,
2019-12-06,中国,CN,,,1,0,0,0,-2.0,1.0,,
2019-12-06,中国,CN,Hubei Province,,1,0,0,0,-2.0,1.0,,
2019-12-06,中国,CN,Hubei Province,Wuhan,1,0,0,0,-2.0,1.0,,
2019-12-07,中国,CN,,,1,0,0,0,-1.0,1.0,,
2019-12-07,中国,CN,Hubei Province,,1,0,0,0,-1.0,1.0,,
2019-12-07,中国,CN,Hubei Province,Wuhan,1,0,0,0,-1.0,1.0,,
2019-12-08,中国,CN,,,1,0,0,0,0.0,1.0,,
2019-12-08,中国,CN,Hubei Province,,1,0,0,0,0.0,1.0,,
2019-12-08,中国,CN,Hubei Province,Wuhan,1,0,0,0,0.0,1.0,,
2019-12-09,中国,CN,,,1,0,0,0,1.0,1.0,,
2019-12-09,中国,CN,Hubei Province,,1,0,0,0,1.0,1.0,,
2019-12-09,中国,CN,Hubei Province,Wuhan,1,0,0,0,1.0,1.0,,
2019-12-10,中国,CN,,,1,0,0,0,2.0,1.0,,
2019-12-10,中国,CN,Hubei Province,,1,0,0,0,2.0,1.0,,
2019-12-10,中国,CN,Hubei Province,Wuhan,1,0,0,0,2.0,1.0,,
2019-12-11,中国,CN,,,4,0,0,0,3.0,4.0,,
2019-12-11,中国,CN,Hubei Province,,4,0,0,0,3.0,4.0,,
2019-12-11,中国,CN,Hubei Province,Wuhan,4,0,0,0,3.0,4.0,,
2019-12-12,中国,CN,,,4,0,0,0,4.0,4.0,,
2019-12-12,中国,CN,Hubei Province,,4,0,0,0,4.0,4.0,,
2019-12-12,中国,CN,Hubei Province,Wuhan,4,0,0,0,4.0,4.0,,
2019-12-13,中国,CN,,,4,0,0,0,5.0,4.0,,
2019-12-13,中国,CN,Hubei Province,,4,0,0,0,5.0,4.0,,
2019-12-13,中国,CN,Hubei Province,Wuhan,4,0,0,0,5.0,4.0,,
2019-12-14,中国,CN,,,4,0,0,0,6.0,4.0,,
2019-12-14,中国,CN,Hubei Province,,4,0,0,0,6.0,4.0,,
2019-12-14,中国,CN,Hubei Province,Wuhan,4,0,0,0,6.0,4.0,,
2019-12-15,中国,CN,,,6,0,0,0,7.0,6.0,,
2019-12-15,中国,CN,Hubei Province,,6,0,0,0,7.0,6.0,,
2019-12-15,中国,CN,Hubei Province,Wuhan,6,0,0,0,7.0,6.0,,
2019-12-16,中国,CN,,,6,0,0,0,8.0,6.0,,
2019-12-16,中国,CN,Hubei Province,,6,0,0,0,8.0,6.0,,
2019-12-16,中国,CN,Hubei Province,Wuhan,6,0,0,0,8.0,6.0,,
2019-12-17,中国,CN,,,7,0,0,0,9.0,7.0,,
2019-12-17,中国,CN,Hubei Province,,7,0,0,0,9.0,7.0,,
2019-12-17,中国,CN,Hubei Province,Wuhan,7,0,0,0,9.0,7.0,,
2019-12-18,中国,CN,,,8,0,0,0,10.0,8.0,,
2019-12-18,中国,CN,Hubei Province,,8,0,0,0,10.0,8.0,,
2019-12-18,中国,CN,Hubei Province,Wuhan,8,0,0,0,10.0,8.0,,
2019-12-19,中国,CN,,,9,0,0,0,11.0,9.0,,
2019-12-19,中国,CN,Hubei Province,,9,0,0,0,11.0,9.0,,
2019-12-19,中国,CN,Hubei Province,Wuhan,9,0,0,0,11.0,9.0,,
2019-12-20,中国,CN,,,14,0,0,0,12.0,14.0,,
2019-12-20,中国,CN,Hubei Province,,14,0,0,0,12.0,14.0,,
2019-12-20,中国,CN,Hubei Province,Wuhan,14,0,0,0,12.0,14.0,,
2019-12-21,中国,CN,,,18,0,0,0,13.0,18.0,,
2019-12-21,中国,CN,Hubei Province,,18,0,0,0,13.0,18.0,,
2019-12-21,中国,CN,Hubei Province,Wuhan,18,0,0,0,13.0,18.0,,
2019-12-22,中国,CN,,,21,0,0,0,14.0,21.0,,
2019-12-22,中国,CN,Hubei Province,,21,0,0,0,14.0,21.0,,
2019-12-22,中国,CN,Hubei Province,Wuhan,21,0,0,0,14.0,21.0,,
2019-12-23,中国,CN,,,29,0,0,0,15.0,29.0,,
2019-12-23,中国,CN,Hubei Province,,29,0,0,0,15.0,29.0,,
2019-12-23,中国,CN,Hubei Province,Wuhan,29,0,0,0,15.0,29.0,,
2019-12-24,中国,CN,,,30,0,0,0,16.0,30.0,,
2019-12-24,中国,CN,Hubei Province,,30,0,0,0,16.0,30.0,,
2019-12-24,中国,CN,Hubei Province,Wuhan,30,0,0,0,16.0,30.0,,
2019-12-25,中国,CN,,,33,0,0,0,17.0,33.0,,
2019-12-25,中国,CN,Hubei Province,,33,0,0,0,17.0,33.0,,
2019-12-25,中国,CN,Hubei Province,Wuhan,33,0,0,0,17.0,33.0,,
2019-12-26,中国,CN,,,35,0,0,0,18.0,35.0,,
2019-12-26,中国,CN,Hubei Province,,35,0,0,0,18.0,35.0,,
2019-12-26,中国,CN,Hubei Province,Wuhan,35,0,0,0,18.0,35.0,,
