date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20210121,上海市,1624,393,1517,7,386,100
20210122,上海市,1635,393,1518,7,387,110
20210123,上海市,1641,393,1523,7,388,111
20210124,上海市,1644,393,1532,7,389,105
20210125,上海市,1654,393,1533,7,390,114
20210126,上海市,1660,393,1547,7,391,106
20210127,上海市,1667,393,1550,7,392,110
20210128,上海市,1676,393,1555,7,393,114
20210129,上海市,1687,393,1559,7,394,121
20210130,上海市,1694,393,1562,7,395,125
20210131,上海市,1698,393,1566,7,396,125
20210201,上海市,1705,393,1568,7,397,130
20210202,上海市,1709,393,1572,7,398,130
20210203,上海市,1714,393,1582,7,399,125
20210204,上海市,1724,393,1590,7,400,127
20210205,上海市,1729,393,1592,7,401,130
20210206,上海市,1732,393,1597,7,402,128
20210207,上海市,1739,393,1607,7,403,125
20210208,上海市,1741,393,1615,7,404,119
20210209,上海市,1747,393,1619,7,405,121
20210210,上海市,1747,393,1626,7,406,114
20210211,上海市,1754,393,1633,7,407,114
20210212,上海市,1757,393,1639,7,408,111
20210213,上海市,1759,393,1643,7,409,109
20210214,上海市,1760,393,1650,7,410,103
20210215,上海市,1765,393,1662,7,411,96
20210216,上海市,1765,393,1670,7,412,88
20210217,上海市,1769,393,1676,7,413,86
20210218,上海市,1776,393,1686,7,414,83
20210219,上海市,1778,393,1686,7,415,85
20210220,上海市,1781,393,1689,7,416,85
20210221,上海市,1783,393,1704,7,417,72
