date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20200120,上海市,1,0,0,0,35,1
20200121,上海市,9,0,0,0,36,9
20200122,上海市,16,0,0,0,37,16
20200123,上海市,20,0,0,0,38,20
20200124,上海市,33,0,0,1,39,32
20200125,上海市,40,0,1,1,40,38
20200126,上海市,53,0,1,1,41,51
20200127,上海市,66,0,3,1,42,62
20200128,上海市,80,0,4,1,43,75
20200129,上海市,101,0,5,1,44,95
20200130,上海市,128,0,5,1,45,122
20200131,上海市,153,0,9,1,46,143
20200201,上海市,177,0,10,1,47,166
20200202,上海市,193,0,10,1,48,182
20200203,上海市,208,0,10,1,49,197
20200204,上海市,233,0,12,1,50,220
20200205,上海市,254,0,15,1,51,238
20200206,上海市,269,0,25,1,52,243
20200207,上海市,281,0,30,1,53,250
20200208,上海市,292,0,41,1,54,250
20200209,上海市,295,0,44,1,55,250
20200210,上海市,302,0,48,1,56,253
20200211,上海市,306,0,53,1,57,252
20200212,上海市,313,0,57,1,58,255
20200213,上海市,318,0,62,1,59,255
20200214,上海市,326,0,90,1,60,235
20200215,上海市,328,0,124,1,61,203
20200216,上海市,331,0,140,1,62,190
20200217,上海市,333,0,161,1,63,171
20200218,上海市,333,0,177,1,64,155
20200219,上海市,333,0,186,2,65,145
20200220,上海市,334,0,199,2,66,133
20200221,上海市,334,0,211,3,67,120
20200222,上海市,335,0,227,3,68,105
20200223,上海市,335,0,249,3,69,83
20200224,上海市,335,0,261,3,70,71
20200225,上海市,336,0,268,3,71,65
20200226,上海市,337,0,272,3,72,62
20200227,上海市,337,0,276,3,73,58
20200228,上海市,337,0,279,3,74,55
20200229,上海市,337,0,287,3,75,47
20200301,上海市,337,0,290,3,76,44
20200302,上海市,338,0,292,3,77,43
20200303,上海市,338,0,294,3,78,41
20200304,上海市,338,0,298,3,79,37
20200305,上海市,339,0,303,3,80,33
20200306,上海市,342,0,306,3,81,33
20200307,上海市,342,0,313,3,82,26
20200308,上海市,342,0,314,3,83,25
20200309,上海市,342,0,315,3,84,24
20200310,上海市,344,0,319,3,85,22
20200311,上海市,344,0,320,3,86,21
20200312,上海市,346,0,321,3,87,22
20200313,上海市,350,0,324,3,88,23
20200314,上海市,353,0,324,3,89,26
20200315,上海市,355,0,324,3,90,28
20200316,上海市,358,0,325,3,91,30
20200317,上海市,361,0,325,3,92,33
20200318,上海市,363,0,326,3,93,34
20200319,上海市,371,0,326,3,94,42
20200320,上海市,380,0,326,3,95,51
20200321,上海市,394,0,327,4,96,63
20200322,上海市,404,0,328,4,97,72
20200323,上海市,413,0,329,4,98,80
20200324,上海市,433,19,330,5,99,98
20200325,上海市,451,19,330,5,100,116
20200326,上海市,468,19,331,5,101,132
20200327,上海市,485,19,334,5,102,146
20200328,上海市,492,19,334,5,103,153
20200329,上海市,498,19,334,5,104,159
20200330,上海市,509,19,338,5,105,166
20200331,上海市,516,19,341,6,106,169
20200401,上海市,522,19,343,6,107,173
20200402,上海市,526,0,343,6,108,177
20200403,上海市,529,0,348,6,109,175
20200404,上海市,531,19,356,6,110,169
20200405,上海市,536,19,383,6,111,147
20200406,上海市,538,19,389,6,112,143
20200407,上海市,543,0,406,7,113,130
20200408,上海市,552,0,417,7,114,128
20200409,上海市,555,19,422,7,115,126
20200410,上海市,555,19,435,7,116,113
20200411,上海市,607,19,438,7,117,162
20200412,上海市,618,19,446,7,118,165
20200413,上海市,618,19,458,7,119,153
20200414,上海市,622,19,468,7,120,147
20200415,上海市,628,19,485,7,121,136
20200416,上海市,628,19,489,7,122,132
20200417,上海市,628,19,512,7,123,109
20200418,上海市,635,19,516,7,124,112
20200419,上海市,638,19,521,7,125,110
20200420,上海市,638,19,530,7,126,101
20200421,上海市,639,300,530,7,127,102
20200422,上海市,640,300,532,7,128,101
20200423,上海市,641,300,533,7,129,101
20200424,上海市,641,300,547,7,130,87
20200425,上海市,642,300,558,7,131,77
20200426,上海市,642,300,568,7,132,67
20200427,上海市,644,300,581,7,133,56
20200428,上海市,645,300,584,7,134,54
20200429,上海市,647,300,597,7,135,43
20200430,上海市,652,300,599,7,136,46
20200501,上海市,652,300,612,7,137,33
20200502,上海市,653,300,613,7,138,33
20200503,上海市,655,300,615,7,139,33
20200504,上海市,656,300,619,7,140,30
20200505,上海市,656,300,620,7,141,29
20200506,上海市,657,300,620,7,142,30
20200507,上海市,657,300,623,7,143,27
20200508,上海市,657,300,623,7,144,27
20200509,上海市,659,300,626,7,145,26
20200510,上海市,659,300,627,7,146,25
20200511,上海市,659,300,627,7,147,25
20200512,上海市,660,300,631,7,148,22
20200513,上海市,660,300,633,7,149,20
20200514,上海市,660,300,638,7,150,15
20200515,上海市,665,300,640,7,151,18
20200516,上海市,665,300,641,7,152,17
20200517,上海市,666,300,641,7,153,18
20200518,上海市,666,300,641,7,154,18
20200519,上海市,666,300,642,7,155,17
20200520,上海市,667,300,645,7,156,15
20200521,上海市,667,300,646,7,157,14
20200522,上海市,667,300,647,7,158,13
20200523,上海市,668,300,647,7,159,14
20200524,上海市,668,300,648,7,160,13
20200525,上海市,669,300,652,7,161,10
20200526,上海市,670,300,653,7,162,10
20200527,上海市,671,300,655,7,163,9
20200528,上海市,671,300,655,7,164,9
20200529,上海市,672,300,657,7,165,8
20200530,上海市,672,300,657,7,166,8
20200531,上海市,672,300,657,7,167,8
20200601,上海市,673,300,660,7,168,6
20200602,上海市,673,300,661,7,169,5
20200603,上海市,673,300,661,7,170,5
20200604,上海市,677,300,662,7,171,8
20200605,上海市,677,300,663,7,172,7
20200606,上海市,677,300,664,7,173,6
20200607,上海市,678,300,664,7,174,7
20200608,上海市,678,300,665,7,175,6
20200609,上海市,678,300,665,7,176,6
20200610,上海市,684,300,665,7,177,12
20200611,上海市,689,300,666,7,178,16
20200612,上海市,690,300,666,7,179,17
20200613,上海市,691,300,666,7,180,18
20200614,上海市,692,300,667,7,181,18
20200615,上海市,695,300,667,7,182,21
20200616,上海市,695,300,667,7,183,21
20200617,上海市,697,300,668,7,184,22
20200618,上海市,697,300,668,7,185,22
20200619,上海市,698,300,668,7,186,23
20200620,上海市,698,300,668,7,187,23
20200621,上海市,701,300,668,7,188,26
20200622,上海市,701,300,669,7,189,25
20200623,上海市,703,300,669,7,190,27
20200624,上海市,703,300,670,7,191,26
20200625,上海市,705,300,672,7,192,26
20200626,上海市,706,300,674,7,193,25
20200627,上海市,707,300,675,7,194,25
20200628,上海市,708,300,675,7,195,26
20200629,上海市,712,300,675,7,196,30
20200630,上海市,712,300,675,7,197,30
20200701,上海市,713,300,677,7,198,29
20200702,上海市,714,300,678,7,199,29
20200703,上海市,715,300,681,7,200,27
20200704,上海市,716,300,681,7,201,28
20200705,上海市,716,300,681,7,202,28
20200706,上海市,718,300,685,7,203,26
20200707,上海市,718,300,688,7,204,23
20200708,上海市,721,300,689,7,205,25
20200709,上海市,722,300,689,7,206,26
20200710,上海市,722,300,689,7,207,26
20200711,上海市,724,300,689,7,208,28
20200712,上海市,725,300,689,7,209,29
20200713,上海市,728,300,690,7,210,31
20200714,上海市,731,300,690,7,211,34
20200715,上海市,732,300,691,7,212,34
20200716,上海市,733,300,699,7,213,27
20200717,上海市,733,300,699,7,214,27
20200718,上海市,733,300,701,7,215,25
20200719,上海市,733,300,707,7,216,19
20200720,上海市,735,393,708,7,217,20
20200722,上海市,738,393,711,7,218,20
20200724,上海市,741,393,712,7,219,22
20200725,上海市,741,393,716,7,220,18
20200726,上海市,741,393,717,7,221,17
20200727,上海市,743,393,718,7,222,18
20200728,上海市,744,393,720,7,223,17
20200729,上海市,744,393,720,7,224,17
20200730,上海市,744,393,720,7,225,17
20200731,上海市,748,393,724,7,226,17
20200801,上海市,749,393,725,7,227,17
20200802,上海市,749,393,725,7,228,17
20200803,上海市,750,393,727,7,229,16
20200804,上海市,752,393,727,7,230,18
20200806,上海市,764,393,728,7,231,29
20200807,上海市,766,393,729,7,232,30
20200808,上海市,768,393,730,7,233,31
20200809,上海市,786,393,731,7,234,48
20200810,上海市,794,393,734,7,235,53
20200812,上海市,800,393,737,7,236,56
20200813,上海市,816,393,739,7,237,70
20200814,上海市,820,393,740,7,238,73
20200815,上海市,825,393,745,7,239,73
20200816,上海市,828,393,749,7,240,72
20200817,上海市,842,393,752,7,241,83
20200818,上海市,850,393,754,7,242,89
20200820,上海市,862,393,777,7,243,78
20200821,上海市,875,393,783,7,244,85
20200822,上海市,875,393,786,7,245,82
20200823,上海市,880,393,796,7,246,77
20200824,上海市,882,393,799,7,247,76
20200825,上海市,886,393,805,7,248,74
20200826,上海市,888,393,807,7,249,74
20200827,上海市,891,393,819,7,250,65
20200828,上海市,894,393,826,7,251,61
20200829,上海市,897,393,829,7,252,61
20200830,上海市,903,393,840,7,253,56
20200831,上海市,904,393,840,7,254,57
20200901,上海市,908,393,842,7,255,59
20200902,上海市,908,393,849,7,256,52
20200903,上海市,913,393,854,7,257,52
20200904,上海市,916,393,860,7,258,49
20200905,上海市,918,393,866,7,259,45
20200906,上海市,922,393,869,7,260,46
20200907,上海市,922,393,872,7,261,43
20200909,上海市,929,393,877,7,262,45
20200910,上海市,937,393,887,7,263,43
20200911,上海市,939,393,887,7,264,45
20200913,上海市,947,393,897,7,265,43
20200914,上海市,948,393,900,7,266,41
20200915,上海市,950,393,904,7,267,39
20200919,上海市,972,393,916,7,268,49
20200920,上海市,974,393,919,7,269,48
20200921,上海市,975,393,923,7,270,45
20200922,上海市,975,393,923,7,271,45
20200923,上海市,977,393,926,7,272,44
20200924,上海市,981,393,928,7,273,46
20200925,上海市,981,393,932,7,274,42
20200926,上海市,982,393,934,7,275,41
20200927,上海市,992,393,936,7,276,49
20200928,上海市,997,393,939,7,277,51
20200929,上海市,999,393,942,7,278,50
20201001,上海市,1007,393,950,7,279,50
20201002,上海市,1011,393,953,7,280,51
20201003,上海市,1012,393,955,7,281,50
20201004,上海市,1022,393,957,7,282,58
20201005,上海市,1024,393,958,7,283,59
20201006,上海市,1025,393,960,7,284,58
20201007,上海市,1030,393,966,7,285,57
20201008,上海市,1036,393,971,7,286,58
20201009,上海市,1038,393,976,7,287,55
20201010,上海市,1048,393,980,7,288,61
20201011,上海市,1053,393,981,7,289,65
20201012,上海市,1056,393,985,7,290,64
20201013,上海市,1061,393,988,7,291,66
20201014,上海市,1064,393,993,7,292,64
20201015,上海市,1075,393,996,7,293,72
20201016,上海市,1080,393,997,7,294,76
20201017,上海市,1085,393,1003,7,295,75
20201018,上海市,1090,393,1011,7,296,72
20201019,上海市,1095,393,1013,7,297,75
20201020,上海市,1097,393,1021,7,298,69
20201021,上海市,1105,393,1026,7,299,72
20201022,上海市,1114,393,1028,7,300,79
20201023,上海市,1123,393,1031,7,301,85
20201024,上海市,1128,393,1034,7,302,87
20201025,上海市,1139,393,1045,7,303,87
20201026,上海市,1142,393,1046,7,304,89
20201027,上海市,1149,393,1048,7,305,94
20201028,上海市,1155,393,1049,7,306,99
20201030,上海市,1176,393,1067,7,307,102
20201031,上海市,1181,393,1074,7,308,100
20201101,上海市,1187,393,1085,7,309,95
20201102,上海市,1196,393,1096,7,310,93
20201103,上海市,1200,393,1101,7,311,92
20201104,上海市,1208,393,1111,7,312,90
20201105,上海市,1223,393,1116,7,313,100
20201106,上海市,1234,393,1122,7,314,105
20201108,上海市,1254,393,1143,7,315,104
20201109,上海市,1259,393,1151,7,316,101
20201110,上海市,1264,393,1154,7,317,103
20201111,上海市,1268,393,1157,7,318,104
20201112,上海市,1271,393,1164,7,319,100
20201114,上海市,1277,393,1174,7,320,96
20201115,上海市,1277,393,1183,7,321,87
20201117,上海市,1285,393,1207,7,322,71
20201118,上海市,1286,393,1215,7,323,64
20201119,上海市,1290,393,1223,7,324,60
20201120,上海市,1301,393,1231,7,325,63
20201121,上海市,1305,393,1233,7,326,65
20201122,上海市,1308,393,1236,7,327,65
20201123,上海市,1312,393,1242,7,328,63
20201124,上海市,1314,393,1249,7,329,58
20201125,上海市,1319,393,1253,7,330,59
20201126,上海市,1322,393,1253,7,331,62
20201127,上海市,1322,393,1257,7,332,58
20201128,上海市,1325,393,1266,7,333,52
20201129,上海市,1330,393,1272,7,334,51
20201130,上海市,1332,393,1277,7,335,48
20201201,上海市,1333,393,1279,7,336,47
20201202,上海市,1341,393,1280,7,337,54
20201203,上海市,1350,393,1285,7,338,58
20201204,上海市,1353,393,1288,7,339,58
20201206,上海市,1366,393,1294,7,340,65
20201207,上海市,1370,393,1299,7,341,64
20201208,上海市,1376,393,1300,7,342,69
20201209,上海市,1385,393,1302,7,343,76
20201210,上海市,1390,393,1302,7,344,81
20201211,上海市,1395,393,1306,7,345,82
20201212,上海市,1405,393,1309,7,346,89
20201213,上海市,1412,393,1313,7,347,92
20201214,上海市,1415,393,1319,7,348,89
20201215,上海市,1418,393,1323,7,349,88
20201216,上海市,1424,393,1329,7,350,88
20201217,上海市,1428,393,1332,7,351,89
20201218,上海市,1436,393,1336,7,352,93
20201219,上海市,1447,393,1346,7,353,94
20201220,上海市,1455,393,1351,7,354,97
20201221,上海市,1461,393,1352,7,355,102
20201222,上海市,1473,393,1358,7,356,108
20201223,上海市,1479,393,1362,7,357,110
20201224,上海市,1483,393,1367,7,358,109
20201225,上海市,1488,393,1370,7,359,111
20201226,上海市,1492,393,1377,7,360,108
20201227,上海市,1494,393,1384,7,361,103
20201228,上海市,1498,393,1389,7,362,102
20201229,上海市,1505,393,1400,7,363,98
20201230,上海市,1511,393,1405,7,364,99
20201231,上海市,1516,393,1412,7,365,97
20210101,上海市,1520,393,1420,7,366,93
20210102,上海市,1526,393,1424,7,367,95
20210103,上海市,1530,393,1429,7,368,94
20210104,上海市,1536,393,1429,7,369,100
20210105,上海市,1538,393,1437,7,370,94
20210106,上海市,1543,393,1439,7,371,97
20210107,上海市,1551,393,1442,7,372,102
20210108,上海市,1558,393,1446,7,373,105
20210109,上海市,1562,393,1449,7,374,106
20210110,上海市,1564,393,1457,7,375,100
20210111,上海市,1568,393,1471,7,376,90
20210112,上海市,1573,393,1477,7,377,89
20210113,上海市,1581,393,1481,7,378,93
20210114,上海市,1583,393,1489,7,379,87
20210115,上海市,1590,393,1491,7,380,92
20210116,上海市,1594,393,1499,7,381,88
20210117,上海市,1598,393,1505,7,382,86
20210118,上海市,1602,393,1509,7,383,86
20210119,上海市,1606,393,1512,7,384,87
20210120,上海市,1615,393,1513,7,385,95
20210121,上海市,1624,393,1517,7,386,100
20210122,上海市,1635,393,1518,7,387,110
20210123,上海市,1641,393,1523,7,388,111
20210124,上海市,1644,393,1532,7,389,105
20210125,上海市,1654,393,1533,7,390,114
20210126,上海市,1660,393,1547,7,391,106
20210127,上海市,1667,393,1550,7,392,110
20210128,上海市,1676,393,1555,7,393,114
20210129,上海市,1687,393,1559,7,394,121
20210130,上海市,1694,393,1562,7,395,125
20210131,上海市,1698,393,1566,7,396,125
20210201,上海市,1705,393,1568,7,397,130
20210202,上海市,1709,393,1572,7,398,130
20210203,上海市,1714,393,1582,7,399,125
20210204,上海市,1724,393,1590,7,400,127
20210205,上海市,1729,393,1592,7,401,130
20210206,上海市,1732,393,1597,7,402,128
20210207,上海市,1739,393,1607,7,403,125
20210208,上海市,1741,393,1615,7,404,119
20210209,上海市,1747,393,1619,7,405,121
20210210,上海市,1747,393,1626,7,406,114
20210211,上海市,1754,393,1633,7,407,114
20210212,上海市,1757,393,1639,7,408,111
20210213,上海市,1759,393,1643,7,409,109
20210214,上海市,1760,393,1650,7,410,103
20210215,上海市,1765,393,1662,7,411,96
20210216,上海市,1765,393,1670,7,412,88
