date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20200120,上海市,1,0,0,0,43,1
20200121,上海市,9,0,0,0,44,9
20200122,上海市,16,0,0,0,45,16
20200123,上海市,20,0,0,0,46,20
20200124,上海市,33,0,0,1,47,32
20200125,上海市,40,0,1,1,48,38
20200126,上海市,53,0,1,1,49,51
20200127,上海市,66,0,3,1,50,62
20200128,上海市,80,0,4,1,51,75
20200129,上海市,101,0,5,1,52,95
20200130,上海市,128,0,5,1,53,122
20200131,上海市,153,0,9,1,54,143
20200201,上海市,177,0,10,1,55,166
20200202,上海市,193,0,10,1,56,182
20200203,上海市,208,0,10,1,57,197
20200204,上海市,233,0,12,1,58,220
20200205,上海市,254,0,15,1,59,238
20200206,上海市,269,0,25,1,60,243
20200207,上海市,281,0,30,1,61,250
20200208,上海市,292,0,41,1,62,250
20200209,上海市,295,0,44,1,63,250
20200210,上海市,302,0,48,1,64,253
20200211,上海市,306,0,53,1,65,252
20200212,上海市,313,0,57,1,66,255
20200213,上海市,318,0,62,1,67,255
20200214,上海市,326,0,90,1,68,235
20200215,上海市,328,0,124,1,69,203
20200216,上海市,331,0,140,1,70,190
20200217,上海市,333,0,161,1,71,171
20200218,上海市,333,0,177,1,72,155
20200219,上海市,333,0,186,2,73,145
20200220,上海市,334,0,199,2,74,133
20200221,上海市,334,0,211,3,75,120
20200222,上海市,335,0,227,3,76,105
20200223,上海市,335,0,249,3,77,83
20200224,上海市,335,0,261,3,78,71
20200225,上海市,336,0,268,3,79,65
20200226,上海市,337,0,272,3,80,62
20200227,上海市,337,0,276,3,81,58
20200228,上海市,337,0,279,3,82,55
20200229,上海市,337,0,287,3,83,47
20200301,上海市,337,0,290,3,84,44
20200302,上海市,338,0,292,3,85,43
20200303,上海市,338,0,294,3,86,41
20200304,上海市,338,0,298,3,87,37
20200305,上海市,339,0,303,3,88,33
20200306,上海市,342,0,306,3,89,33
20200307,上海市,342,0,313,3,90,26
20200308,上海市,342,0,314,3,91,25
20200309,上海市,342,0,315,3,92,24
20200310,上海市,344,0,319,3,93,22
20200311,上海市,344,0,320,3,94,21
20200312,上海市,346,0,321,3,95,22
20200313,上海市,350,0,324,3,96,23
20200314,上海市,353,0,324,3,97,26
20200315,上海市,355,0,324,3,98,28
20200316,上海市,358,0,325,3,99,30
20200317,上海市,361,0,325,3,100,33
20200318,上海市,363,0,326,3,101,34
20200319,上海市,371,0,326,3,102,42
20200320,上海市,380,0,326,3,103,51
20200321,上海市,394,0,327,4,104,63
20200322,上海市,404,0,328,4,105,72
20200323,上海市,413,0,329,4,106,80
20200324,上海市,433,19,330,5,107,98
20200325,上海市,451,19,330,5,108,116
20200326,上海市,468,19,331,5,109,132
20200327,上海市,485,19,334,5,110,146
20200328,上海市,492,19,334,5,111,153
20200329,上海市,498,19,334,5,112,159
20200330,上海市,509,19,338,5,113,166
20200331,上海市,516,19,341,6,114,169
20200401,上海市,522,19,343,6,115,173
20200402,上海市,526,0,343,6,116,177
20200403,上海市,529,0,348,6,117,175
20200404,上海市,531,19,356,6,118,169
20200405,上海市,536,19,383,6,119,147
20200406,上海市,538,19,389,6,120,143
20200407,上海市,543,0,406,7,121,130
20200408,上海市,552,0,417,7,122,128
20200409,上海市,555,19,422,7,123,126
20200410,上海市,555,19,435,7,124,113
20200411,上海市,607,19,438,7,125,162
20200412,上海市,618,19,446,7,126,165
20200413,上海市,618,19,458,7,127,153
20200414,上海市,622,19,468,7,128,147
20200415,上海市,628,19,485,7,129,136
20200416,上海市,628,19,489,7,130,132
20200417,上海市,628,19,512,7,131,109
20200418,上海市,635,19,516,7,132,112
20200419,上海市,638,19,521,7,133,110
20200420,上海市,638,19,530,7,134,101
20200421,上海市,639,300,530,7,135,102
20200422,上海市,640,300,532,7,136,101
20200423,上海市,641,300,533,7,137,101
20200424,上海市,641,300,547,7,138,87
20200425,上海市,642,300,558,7,139,77
20200426,上海市,642,300,568,7,140,67
20200427,上海市,644,300,581,7,141,56
20200428,上海市,645,300,584,7,142,54
