date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20200119,广东省,1,0,0,0,8911,1
20200120,广东省,17,0,0,0,8912,17
20200120,北京市,5,0,0,0,8912,5
20200120,上海市,1,0,0,0,8912,1
20200120,湖北省,270,0,25,6,8912,239
20200121,广东省,26,0,0,0,8913,26
20200121,北京市,10,0,0,0,8913,10
20200121,重庆市,5,0,0,0,8913,5
20200121,河南省,1,0,0,0,8913,1
20200121,浙江省,5,0,0,0,8913,5
20200121,天津市,2,0,0,0,8913,2
20200121,上海市,9,0,0,0,8913,9
20200121,湖北省,375,0,28,9,8913,338
20200121,江西省,2,0,0,0,8913,2
20200122,台湾,1,0,0,0,8914,1
20200122,香港,1,0,0,0,8914,1
20200122,广东省,32,0,0,0,8914,32
20200122,山西省,1,0,0,0,8914,1
20200122,四川省,7,0,0,0,8914,7
20200122,北京市,14,0,0,0,8914,14
20200122,福建省,1,0,0,0,8914,1
20200122,重庆市,9,0,0,0,8914,9
20200122,河南省,4,0,0,0,8914,4
20200122,江苏省,1,0,0,0,8914,1
20200122,浙江省,10,0,0,0,8914,10
20200122,辽宁省,2,0,0,0,8914,2
20200122,天津市,4,0,0,0,8914,4
20200122,上海市,16,0,0,0,8914,16
20200122,海南省,4,0,0,0,8914,4
20200122,湖北省,444,0,28,17,8914,399
20200122,广西壮族自治区,2,0,0,0,8914,2
20200122,安徽省,9,0,0,0,8914,9
20200122,河北省,1,0,0,0,8914,1
20200122,江西省,3,0,0,0,8914,3
20200122,澳门,1,0,0,0,8914,1
20200123,台湾,1,0,0,0,8915,1
20200123,香港,2,0,0,0,8915,2
20200123,广东省,53,0,0,0,8915,53
20200123,内蒙古自治区,1,0,0,0,8915,1
20200123,山西省,1,0,0,0,8915,1
20200123,四川省,15,0,0,0,8915,15
20200123,新疆维吾尔自治区,2,0,0,0,8915,2
20200123,北京市,26,0,0,0,8915,26
20200123,福建省,3,0,0,0,8915,3
20200123,重庆市,27,0,0,0,8915,27
20200123,陕西省,3,0,0,0,8915,3
20200123,河南省,9,0,0,0,8915,9
20200123,江苏省,9,0,0,0,8915,9
20200123,浙江省,43,0,1,0,8915,42
20200123,辽宁省,3,0,0,0,8915,3
20200123,天津市,5,0,0,0,8915,5
20200123,湖南省,24,0,0,0,8915,24
20200123,黑龙江省,4,0,0,1,8915,3
20200123,上海市,20,0,0,0,8915,20
20200123,贵州省,3,0,0,0,8915,3
20200123,海南省,8,0,0,0,8915,8
20200123,山东省,9,0,0,0,8915,9
20200123,吉林省,3,0,0,0,8915,3
20200123,湖北省,549,0,31,24,8915,494
20200123,广西壮族自治区,13,0,0,0,8915,13
20200123,安徽省,15,0,0,0,8915,15
20200123,宁夏回族自治区,2,0,0,0,8915,2
20200123,河北省,2,0,0,0,8915,2
20200123,江西省,7,0,0,0,8915,7
20200123,甘肃省,2,0,0,0,8915,2
20200123,澳门,2,0,0,0,8915,2
20200124,台湾,3,0,0,0,8916,3
20200124,香港,5,0,0,0,8916,5
20200124,广东省,78,0,2,0,8916,76
20200124,内蒙古自治区,2,0,0,0,8916,2
20200124,山西省,6,0,0,0,8916,6
20200124,四川省,28,0,0,0,8916,28
20200124,新疆维吾尔自治区,3,0,0,0,8916,3
20200124,北京市,36,0,0,0,8916,36
20200124,福建省,18,0,0,0,8916,18
20200124,云南省,5,0,0,0,8916,5
20200124,重庆市,57,0,0,0,8916,57
20200124,陕西省,5,0,0,0,8916,5
20200124,河南省,32,0,0,0,8916,32
20200124,江苏省,18,0,1,0,8916,17
20200124,浙江省,62,0,1,0,8916,61
20200124,辽宁省,12,0,0,0,8916,12
20200124,天津市,8,0,0,0,8916,8
20200124,湖南省,43,0,0,0,8916,43
20200124,黑龙江省,9,0,0,1,8916,8
20200124,上海市,33,0,0,1,8916,32
20200124,贵州省,4,0,0,0,8916,4
20200124,海南省,17,0,0,0,8916,17
20200124,山东省,21,0,0,0,8916,21
20200124,吉林省,4,0,0,0,8916,4
20200124,湖北省,729,0,32,39,8916,658
20200124,广西壮族自治区,23,0,0,0,8916,23
20200124,安徽省,39,0,0,0,8916,39
20200124,宁夏回族自治区,3,0,0,0,8916,3
20200124,河北省,8,0,0,1,8916,7
20200124,江西省,18,0,0,0,8916,18
20200124,甘肃省,4,0,0,0,8916,4
20200124,澳门,2,0,0,0,8916,2
20200125,台湾,3,0,0,0,8917,3
20200125,香港,5,0,0,0,8917,5
20200125,广东省,111,0,2,0,8917,109
20200125,内蒙古自治区,5,0,0,0,8917,5
20200125,山西省,9,0,0,0,8917,9
20200125,四川省,44,0,0,0,8917,44
20200125,新疆维吾尔自治区,4,0,0,0,8917,4
20200125,北京市,51,0,2,0,8917,49
20200125,福建省,29,0,0,0,8917,29
20200125,云南省,11,0,0,0,8917,11
20200125,重庆市,75,0,0,0,8917,75
20200125,陕西省,22,0,0,0,8917,22
20200125,河南省,83,0,0,1,8917,82
20200125,江苏省,31,0,1,0,8917,30
20200125,浙江省,104,0,1,0,8917,103
20200125,辽宁省,19,0,0,0,8917,19
20200125,天津市,10,0,0,0,8917,10
20200125,湖南省,69,0,0,0,8917,69
20200125,黑龙江省,15,0,0,1,8917,14
20200125,上海市,40,0,1,1,8917,38
20200125,贵州省,5,0,0,0,8917,5
20200125,海南省,19,0,0,0,8917,19
20200125,山东省,39,0,0,0,8917,39
20200125,吉林省,4,0,0,0,8917,4
20200125,湖北省,1052,0,42,52,8917,958
20200125,广西壮族自治区,33,0,0,0,8917,33
20200125,安徽省,60,0,0,0,8917,60
20200125,宁夏回族自治区,4,0,0,0,8917,4
20200125,河北省,13,0,0,1,8917,12
20200125,江西省,36,0,0,0,8917,36
20200125,甘肃省,7,0,0,0,8917,7
20200125,澳门,2,0,0,0,8917,2
20200125,青海省,1,0,0,0,8917,1
20200126,台湾,4,0,0,0,8918,4
20200126,香港,8,0,0,0,8918,8
20200126,广东省,146,0,2,0,8918,144
20200126,内蒙古自治区,11,0,0,0,8918,11
20200126,山西省,13,0,0,0,8918,13
20200126,四川省,69,0,0,0,8918,69
20200126,新疆维吾尔自治区,5,0,0,0,8918,5
20200126,北京市,68,0,2,0,8918,66
20200126,福建省,56,0,0,0,8918,56
20200126,云南省,19,0,0,0,8918,19
20200126,重庆市,110,0,0,0,8918,110
20200126,陕西省,35,0,0,0,8918,35
20200126,河南省,128,0,0,1,8918,127
20200126,江苏省,47,0,1,0,8918,46
20200126,浙江省,128,0,1,0,8918,127
20200126,辽宁省,22,0,0,0,8918,22
20200126,天津市,14,0,0,0,8918,14
20200126,湖南省,100,0,0,0,8918,100
20200126,黑龙江省,21,0,0,1,8918,20
20200126,上海市,53,0,1,1,8918,51
20200126,贵州省,7,0,0,0,8918,7
20200126,海南省,22,0,0,0,8918,22
20200126,山东省,63,0,0,0,8918,63
20200126,吉林省,6,0,0,0,8918,6
20200126,湖北省,1423,0,44,76,8918,1303
20200126,广西壮族自治区,46,0,0,0,8918,46
20200126,安徽省,70,0,0,0,8918,70
20200126,宁夏回族自治区,7,0,0,0,8918,7
20200126,河北省,18,0,0,1,8918,17
20200126,江西省,48,0,0,0,8918,48
20200126,甘肃省,14,0,0,0,8918,14
20200126,澳门,5,0,0,0,8918,5
20200126,青海省,4,0,0,0,8918,4
20200127,台湾,5,0,0,0,8919,5
20200127,香港,8,0,0,0,8919,8
20200127,广东省,188,0,4,0,8919,184
20200127,内蒙古自治区,13,0,0,0,8919,13
20200127,山西省,20,0,0,0,8919,20
20200127,四川省,90,0,0,0,8919,90
20200127,新疆维吾尔自治区,10,0,0,0,8919,10
20200127,北京市,80,0,2,1,8919,77
20200127,福建省,59,0,0,0,8919,59
20200127,云南省,26,0,0,0,8919,26
20200127,重庆市,132,0,0,0,8919,132
20200127,陕西省,46,0,0,0,8919,46
20200127,河南省,168,0,0,1,8919,167
20200127,江苏省,70,0,1,0,8919,69
20200127,浙江省,173,0,1,0,8919,172
20200127,辽宁省,27,0,0,0,8919,27
20200127,天津市,23,0,0,0,8919,23
20200127,湖南省,143,0,0,0,8919,143
20200127,黑龙江省,30,0,0,1,8919,29
20200127,上海市,66,0,3,1,8919,62
20200127,贵州省,9,0,0,0,8919,9
20200127,海南省,33,0,0,1,8919,32
20200127,山东省,87,0,0,0,8919,87
20200127,吉林省,8,0,0,0,8919,8
20200127,湖北省,2714,0,47,100,8919,2567
20200127,广西壮族自治区,51,0,0,0,8919,51
20200127,安徽省,106,0,0,0,8919,106
20200127,宁夏回族自治区,11,0,0,0,8919,11
20200127,河北省,33,0,0,1,8919,32
20200127,江西省,72,0,2,0,8919,70
20200127,甘肃省,19,0,0,0,8919,19
20200127,澳门,7,0,0,0,8919,7
20200127,青海省,6,0,0,0,8919,6
20200128,台湾,8,0,0,0,8920,8
20200128,香港,8,0,0,0,8920,8
20200128,广东省,241,0,5,0,8920,236
20200128,内蒙古自治区,16,0,0,0,8920,16
20200128,山西省,27,0,0,0,8920,27
20200128,四川省,108,0,0,0,8920,108
20200128,新疆维吾尔自治区,13,0,0,0,8920,13
20200128,北京市,102,0,4,1,8920,97
20200128,福建省,82,0,0,0,8920,82
20200128,云南省,51,0,0,0,8920,51
20200128,重庆市,147,0,0,0,8920,147
20200128,陕西省,56,0,0,0,8920,56
20200128,河南省,206,0,1,2,8920,203
20200128,江苏省,99,0,1,0,8920,98
