date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20210801,天津市,425,50,400,3,578 ,22
20210802,天津市,425,50,400,3,579 ,22
20210803,天津市,428,50,400,3,580 ,25
20210804,天津市,429,50,400,3,581 ,26
20210805,天津市,430,50,400,3,582 ,27
20210806,天津市,435,50,401,3,583 ,31
20210807,天津市,435,50,403,3,584 ,29
20210808,天津市,435,50,404,3,585 ,28
20210809,天津市,435,50,406,3,586 ,26
20210810,天津市,436,50,406,3,587 ,27
20210811,天津市,436,50,406,3,588 ,27
20210812,天津市,436,50,407,3,589 ,26
20210813,天津市,436,50,407,3,590 ,26
20210814,天津市,441,50,409,3,591 ,29
20210815,天津市,442,50,412,3,592 ,27
20210816,天津市,442,50,412,3,593 ,27
20210817,天津市,442,50,412,3,594 ,27
20210818,天津市,456,50,414,3,595 ,39
20210819,天津市,457,50,414,3,596 ,40
20210820,天津市,458,50,416,3,597 ,39
20210821,天津市,459,50,418,3,598 ,38
20210822,天津市,462,50,420,3,599 ,39
20210823,天津市,462,50,420,3,600 ,39
20210824,天津市,464,50,421,3,601 ,40
20210825,天津市,465,50,422,3,602 ,40
20210826,天津市,466,50,424,3,603 ,39
20210827,天津市,466,50,425,3,604 ,38
20210828,天津市,470,50,426,3,605 ,41
20210829,天津市,472,50,426,3,606 ,43
20210830,天津市,473,50,427,3,607 ,43
20210831,天津市,475,50,428,3,608 ,44
20210901,天津市,475,50,429,3,609 ,43
20210902,天津市,475,50,432,3,610 ,40
20210903,天津市,476,50,433,3,611 ,40
20210904,天津市,478,50,434,3,612 ,41
20210905,天津市,478,50,436,3,613 ,39
20210906,天津市,478,50,437,3,614 ,38
20210907,天津市,478,50,439,3,615 ,36
20210908,天津市,478,50,442,3,616 ,33
20210909,天津市,478,50,444,3,617 ,31
20210910,天津市,478,50,447,3,618 ,28
