date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20200121,天津市,2,0,0,0,36 ,2
20200122,天津市,4,0,0,0,37 ,4
20200123,天津市,5,0,0,0,38 ,5
20200124,天津市,8,0,0,0,39 ,8
20200125,天津市,10,0,0,0,40 ,10
20200126,天津市,14,0,0,0,41 ,14
20200127,天津市,23,0,0,0,42 ,23
20200128,天津市,24,0,0,0,43 ,24
20200129,天津市,27,0,0,0,44 ,27
20200130,天津市,31,0,0,0,45 ,31
20200131,天津市,32,0,0,0,46 ,32
20200201,天津市,41,0,0,0,47 ,41
20200202,天津市,48,0,1,0,48 ,47
20200203,天津市,60,0,1,0,49 ,59
20200204,天津市,67,0,2,0,50 ,65
20200205,天津市,78,0,2,1,51 ,75
20200206,天津市,79,0,2,1,52 ,76
20200207,天津市,81,0,2,1,53 ,78
20200208,天津市,88,0,4,1,54 ,83
20200209,天津市,91,0,4,1,55 ,86
20200210,天津市,95,0,4,2,56 ,89
20200211,天津市,106,0,10,2,57 ,94
20200212,天津市,112,0,11,2,58 ,99
20200213,天津市,119,0,21,3,59 ,95
20200214,天津市,120,0,32,3,60 ,85
20200215,天津市,122,0,37,3,61 ,82
20200216,天津市,124,0,45,3,62 ,76
20200217,天津市,125,0,46,3,63 ,76
20200218,天津市,128,0,48,3,64 ,77
20200219,天津市,130,0,54,3,65 ,73
20200220,天津市,131,0,59,3,66 ,69
20200221,天津市,133,0,62,3,67 ,68
20200222,天津市,135,0,65,3,68 ,67
20200223,天津市,135,0,81,3,69 ,51
20200224,天津市,135,0,87,3,70 ,45
20200225,天津市,135,0,91,3,71 ,41
20200226,天津市,135,0,96,3,72 ,36
20200227,天津市,136,0,102,3,73 ,31
20200228,天津市,136,0,105,3,74 ,28
20200229,天津市,136,0,109,3,75 ,24
20200301,天津市,136,0,111,3,76 ,22
20200302,天津市,136,0,118,3,77 ,15
20200303,天津市,136,0,124,3,78 ,9
20200304,天津市,136,0,128,3,79 ,5
20200305,天津市,136,0,128,3,80 ,5
20200306,天津市,136,0,128,3,81 ,5
20200307,天津市,136,0,128,3,82 ,5
20200308,天津市,136,0,129,3,83 ,4
20200309,天津市,136,0,130,3,84 ,3
20200310,天津市,136,0,131,3,85 ,2
20200311,天津市,136,0,132,3,86 ,1
20200312,天津市,136,0,132,3,87 ,1
20200313,天津市,136,0,132,3,88 ,1
20200314,天津市,136,0,132,3,89 ,1
20200315,天津市,136,0,133,3,90 ,0
20200316,天津市,136,0,133,3,91 ,0
20200317,天津市,136,0,133,3,92 ,0
20200318,天津市,136,0,133,3,93 ,0
20200319,天津市,137,0,133,3,94 ,1
20200320,天津市,137,0,133,3,95 ,1
20200321,天津市,137,0,133,3,96 ,1
20200322,天津市,137,0,133,3,97 ,1
20200323,天津市,141,0,133,3,98 ,5
20200324,天津市,145,0,133,3,99 ,9
20200325,天津市,147,0,133,3,100 ,11
20200326,天津市,152,15,133,3,101 ,16
20200327,天津市,156,15,133,3,102 ,20
20200328,天津市,163,25,133,3,103 ,27
20200329,天津市,166,25,133,3,104 ,30
20200330,天津市,174,25,133,3,105 ,38
20200331,天津市,174,0,135,3,106 ,36
20200401,天津市,176,0,135,3,107 ,38
20200402,天津市,177,0,140,3,108 ,34
20200403,天津市,180,0,140,3,109 ,37
20200404,天津市,180,0,144,3,110 ,33
20200405,天津市,180,0,144,3,111 ,33
20200406,天津市,180,0,151,3,112 ,26
20200407,天津市,180,0,152,3,113 ,25
20200408,天津市,181,0,152,3,114 ,26
20200409,天津市,182,0,154,3,115 ,25
20200410,天津市,183,0,158,3,116 ,22
20200411,天津市,183,0,161,3,117 ,19
20200412,天津市,184,48,161,3,118 ,20
20200413,天津市,184,48,164,3,119 ,17
20200414,天津市,185,48,168,3,120 ,14
20200415,天津市,185,48,171,3,121 ,11
20200416,天津市,186,48,172,3,122 ,11
20200417,天津市,189,48,173,3,123 ,13
20200418,天津市,189,48,173,3,124 ,13
20200419,天津市,189,48,174,3,125 ,12
20200420,天津市,189,48,174,3,126 ,12
20200421,天津市,189,48,176,3,127 ,10
20200422,天津市,189,48,178,3,128 ,8
20200423,天津市,189,48,179,3,129 ,7
20200424,天津市,190,48,181,3,130 ,6
20200425,天津市,190,48,182,3,131 ,5
20200426,天津市,190,48,182,3,132 ,5
20200427,天津市,190,48,182,3,133 ,5
20200428,天津市,190,48,183,3,134 ,4
20200429,天津市,190,48,183,3,135 ,4
20200430,天津市,190,48,184,3,136 ,3
20200501,天津市,190,48,185,3,137 ,2
20200502,天津市,190,48,186,3,138 ,1
20200503,天津市,190,48,186,3,139 ,1
20200504,天津市,190,48,186,3,140 ,1
20200505,天津市,190,48,186,3,141 ,1
20200506,天津市,190,48,186,3,142 ,1
20200507,天津市,190,48,186,3,143 ,1
20200508,天津市,191,48,186,3,144 ,2
20200509,天津市,191,48,186,3,145 ,2
20200510,天津市,191,48,186,3,146 ,2
20200511,天津市,191,48,186,3,147 ,2
20200512,天津市,191,48,186,3,148 ,2
20200513,天津市,191,48,187,3,149 ,1
20200514,天津市,191,48,187,3,150 ,1
20200515,天津市,191,48,187,3,151 ,1
20200516,天津市,192,48,187,3,152 ,2
20200517,天津市,192,48,187,3,153 ,2
20200518,天津市,192,48,187,3,154 ,2
20200519,天津市,192,48,187,3,155 ,2
20200520,天津市,192,48,187,3,156 ,2
20200521,天津市,192,48,187,3,157 ,2
20200522,天津市,192,48,187,3,158 ,2
20200523,天津市,192,48,187,3,159 ,2
20200524,天津市,192,48,188,3,160 ,1
20200525,天津市,192,48,188,3,161 ,1
20200526,天津市,192,48,188,3,162 ,1
20200527,天津市,192,48,188,3,163 ,1
20200528,天津市,192,48,188,3,164 ,1
20200529,天津市,192,48,188,3,165 ,1
20200530,天津市,192,48,188,3,166 ,1
20200531,天津市,192,48,188,3,167 ,1
20200601,天津市,192,48,188,3,168 ,1
20200602,天津市,192,48,188,3,169 ,1
20200603,天津市,192,48,188,3,170 ,1
20200604,天津市,192,48,189,3,171 ,0
20200605,天津市,192,48,189,3,172 ,0
20200606,天津市,193,48,189,3,173 ,1
20200607,天津市,193,48,189,3,174 ,1
20200608,天津市,193,48,189,3,175 ,1
20200609,天津市,194,48,189,3,176 ,2
20200610,天津市,195,48,189,3,177 ,3
20200611,天津市,195,48,189,3,178 ,3
20200612,天津市,196,48,189,3,179 ,4
20200613,天津市,196,48,189,3,180 ,4
20200614,天津市,196,48,189,3,181 ,4
20200615,天津市,196,48,189,3,182 ,4
20200616,天津市,196,48,189,3,183 ,4
20200617,天津市,197,48,191,3,184 ,3
20200618,天津市,197,48,191,3,185 ,3
20200619,天津市,197,48,191,3,186 ,3
20200620,天津市,197,48,191,3,187 ,3
20200621,天津市,197,48,191,3,188 ,3
20200622,天津市,198,48,192,3,189 ,3
20200623,天津市,198,48,192,3,190 ,3
20200624,天津市,198,48,192,3,191 ,3
20200625,天津市,198,48,193,3,192 ,2
20200626,天津市,198,48,193,3,193 ,2
20200627,天津市,198,48,193,3,194 ,2
20200628,天津市,198,48,194,3,195 ,1
20200629,天津市,198,48,194,3,196 ,1
20200630,天津市,198,48,194,3,197 ,1
20200701,天津市,198,48,194,3,198 ,1
20200702,天津市,198,48,194,3,199 ,1
20200703,天津市,198,48,194,3,200 ,1
20200704,天津市,199,48,194,3,201 ,2
20200705,天津市,199,48,194,3,202 ,2
20200706,天津市,199,48,194,3,203 ,2
20200707,天津市,199,48,194,3,204 ,2
20200708,天津市,199,48,195,3,205 ,1
20200709,天津市,199,48,195,3,206 ,1
20200710,天津市,199,48,195,3,207 ,1
20200711,天津市,203,48,195,3,208 ,5
20200712,天津市,203,48,195,3,209 ,5
20200713,天津市,203,48,195,3,210 ,5
20200714,天津市,203,48,195,3,211 ,5
20200715,天津市,203,48,195,3,212 ,5
20200716,天津市,203,48,195,3,213 ,5
20200717,天津市,203,48,195,3,214 ,5
20200718,天津市,203,48,195,3,215 ,5
20200719,天津市,203,48,195,3,216 ,5
20200720,天津市,203,48,195,3,217 ,5
20200722,天津市,203,48,195,3,218 ,5
20200724,天津市,203,48,195,3,219 ,5
20200725,天津市,204,48,195,3,220 ,6
20200726,天津市,204,48,195,3,221 ,6
20200727,天津市,204,48,195,3,222 ,6
20200728,天津市,204,48,195,3,223 ,6
20200729,天津市,204,48,195,3,224 ,6
20200730,天津市,205,49,195,3,225 ,7
20200731,天津市,205,49,195,3,226 ,7
20200801,天津市,205,49,196,3,227 ,6
20200802,天津市,205,49,196,3,228 ,6
20200803,天津市,205,49,196,3,229 ,6
20200804,天津市,205,49,196,3,230 ,6
20200806,天津市,205,49,197,3,231 ,5
20200807,天津市,205,49,197,3,232 ,5
20200808,天津市,205,49,199,3,233 ,3
20200809,天津市,205,49,200,3,234 ,2
20200810,天津市,205,49,201,3,235 ,1
20200812,天津市,205,49,202,3,236 ,0
20200813,天津市,205,49,202,3,237 ,0
20200814,天津市,205,49,202,3,238 ,0
20200815,天津市,207,49,202,3,239 ,2
20200816,天津市,207,49,202,3,240 ,2
20200817,天津市,209,49,202,3,241 ,4
20200818,天津市,209,49,202,3,242 ,4
20200820,天津市,216,49,202,3,243 ,11
20200821,天津市,216,49,202,3,244 ,11
20200822,天津市,218,49,203,3,245 ,12
20200823,天津市,218,49,203,3,246 ,12
20200824,天津市,219,49,203,3,247 ,13
20200825,天津市,220,49,203,3,248 ,14
20200826,天津市,220,49,203,3,249 ,14
20200827,天津市,220,49,205,3,250 ,12
20200828,天津市,220,49,205,3,251 ,12
20200829,天津市,221,49,213,3,252 ,5
20200830,天津市,229,49,213,3,253 ,13
20200831,天津市,229,49,213,3,254 ,13
20200901,天津市,229,49,213,3,255 ,13
20200902,天津市,229,49,214,3,256 ,12
20200903,天津市,230,49,214,3,257 ,13
20200904,天津市,231,50,214,3,258 ,14
20200905,天津市,231,50,214,3,259 ,14
20200906,天津市,232,50,215,3,260 ,14
20200907,天津市,233,50,215,3,261 ,15
20200909,天津市,233,50,216,3,262 ,14
20200910,天津市,233,50,220,3,263 ,10
20200911,天津市,233,50,220,3,264 ,10
20200913,天津市,234,50,225,3,265 ,6
20200914,天津市,234,50,225,3,266 ,6
20200915,天津市,234,50,225,3,267 ,6
20200919,天津市,237,50,226,3,268 ,8
20200920,天津市,237,50,227,3,269 ,7
20200921,天津市,238,50,228,3,270 ,7
20200922,天津市,239,50,229,3,271 ,7
20200923,天津市,239,50,229,3,272 ,7
20200924,天津市,239,50,230,3,273 ,6
20200925,天津市,240,50,230,3,274 ,7
20200926,天津市,240,50,233,3,275 ,4
20200927,天津市,240,50,233,3,276 ,4
20200928,天津市,240,50,233,3,277 ,4
20200929,天津市,240,50,233,3,278 ,4
20201001,天津市,240,50,233,3,279 ,4
20201002,天津市,240,50,234,3,280 ,3
20201003,天津市,241,50,234,3,281 ,4
20201004,天津市,241,50,234,3,282 ,4
20201005,天津市,242,50,235,3,283 ,4
20201006,天津市,242,50,235,3,284 ,4
20201007,天津市,242,50,235,3,285 ,4
20201008,天津市,242,50,235,3,286 ,4
20201009,天津市,244,50,236,3,287 ,5
20201010,天津市,244,50,236,3,288 ,5
20201011,天津市,245,50,237,3,289 ,5
20201012,天津市,245,50,238,3,290 ,4
20201013,天津市,245,50,238,3,291 ,4
20201014,天津市,245,50,238,3,292 ,4
20201015,天津市,247,50,240,3,293 ,4
20201016,天津市,251,50,240,3,294 ,8
20201017,天津市,252,50,240,3,295 ,9
20201018,天津市,254,50,240,3,296 ,11
20201019,天津市,256,50,241,3,297 ,12
20201020,天津市,256,50,241,3,298 ,12
20201021,天津市,256,50,241,3,299 ,12
20201022,天津市,256,50,242,3,300 ,11
20201023,天津市,259,50,242,3,301 ,14
20201024,天津市,260,50,242,3,302 ,15
20201025,天津市,260,50,245,3,303 ,12
20201026,天津市,260,50,246,3,304 ,11
20201027,天津市,261,50,246,3,305 ,12
20201028,天津市,263,50,247,3,306 ,13
20201030,天津市,270,50,251,3,307 ,16
