date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20200123,甘肃省,2,0,0,0,49,2
20200124,甘肃省,4,0,0,0,50,4
20200125,甘肃省,7,0,0,0,51,7
20200126,甘肃省,14,0,0,0,52,14
20200127,甘肃省,19,0,0,0,53,19
20200128,甘肃省,24,0,0,0,54,24
20200129,甘肃省,26,0,0,0,55,26
20200130,甘肃省,29,0,0,0,56,29
20200131,甘肃省,35,0,0,0,57,35
20200201,甘肃省,40,0,0,0,58,40
20200202,甘肃省,51,0,3,0,59,48
20200203,甘肃省,55,0,3,0,60,52
20200204,甘肃省,57,0,4,0,61,53
20200205,甘肃省,62,0,6,0,62,56
20200206,甘肃省,67,0,9,0,63,58
20200207,甘肃省,71,0,9,1,64,61
20200208,甘肃省,79,0,12,1,65,66
20200209,甘肃省,83,0,16,2,66,65
20200210,甘肃省,86,0,21,2,67,63
20200211,甘肃省,86,0,24,2,68,60
20200212,甘肃省,87,0,31,2,69,54
20200213,甘肃省,90,0,39,2,70,49
20200214,甘肃省,90,0,44,2,71,44
20200215,甘肃省,90,0,49,2,72,39
20200216,甘肃省,90,0,54,2,73,34
20200217,甘肃省,91,0,58,2,74,31
20200218,甘肃省,91,0,62,2,75,27
20200219,甘肃省,91,0,65,2,76,24
20200220,甘肃省,91,0,71,2,77,18
20200221,甘肃省,91,0,76,2,78,13
20200222,甘肃省,91,0,76,2,79,13
20200223,甘肃省,91,0,78,2,80,11
20200224,甘肃省,91,0,80,2,81,9
20200225,甘肃省,91,0,80,2,82,9
20200226,甘肃省,91,0,81,2,83,8
20200227,甘肃省,91,0,82,2,84,7
20200228,甘肃省,91,0,82,2,85,7
20200229,甘肃省,91,0,82,2,86,7
20200301,甘肃省,91,0,84,2,87,5
20200302,甘肃省,91,0,85,2,88,4
20200303,甘肃省,91,0,86,2,89,3
20200304,甘肃省,91,0,87,2,90,2
20200305,甘肃省,102,0,87,2,91,13
20200306,甘肃省,119,0,87,2,92,30
20200307,甘肃省,120,0,87,2,93,31
20200308,甘肃省,124,0,87,2,94,35
20200309,甘肃省,124,0,88,2,95,34
20200310,甘肃省,125,0,88,2,96,35
20200311,甘肃省,127,0,88,2,97,37
20200312,甘肃省,127,0,88,2,98,37
20200313,甘肃省,129,0,89,2,99,38
20200314,甘肃省,132,0,91,2,100,39
20200315,甘肃省,133,0,91,2,101,40
20200316,甘肃省,133,0,91,2,102,40
20200317,甘肃省,133,0,91,2,103,40
20200318,甘肃省,133,0,91,2,104,40
20200319,甘肃省,134,0,98,2,105,34
20200320,甘肃省,134,0,113,2,106,19
20200321,甘肃省,134,0,113,2,107,19
20200322,甘肃省,136,0,114,2,108,20
20200323,甘肃省,136,0,118,2,109,16
20200324,甘肃省,136,0,119,2,110,15
