date,province,confirmed,suspected,cured,dead,Days,net_confirmed
20210421,甘肃省,193,0,190,2,487,1
20210422,甘肃省,193,0,190,2,488,1
20210423,甘肃省,193,0,190,2,489,1
20210424,甘肃省,193,0,190,2,490,1
20210425,甘肃省,193,0,190,2,491,1
20210426,甘肃省,193,0,190,2,492,1
20210427,甘肃省,193,0,190,2,493,1
20210428,甘肃省,193,0,190,2,494,1
20210429,甘肃省,193,0,190,2,495,1
20210430,甘肃省,193,0,190,2,496,1
20210501,甘肃省,193,0,190,2,497,1
20210502,甘肃省,193,0,190,2,498,1
20210503,甘肃省,193,0,190,2,499,1
20210504,甘肃省,193,0,190,2,500,1
20210505,甘肃省,193,0,190,2,501,1
20210506,甘肃省,193,0,190,2,502,1
20210507,甘肃省,193,0,190,2,503,1
20210508,甘肃省,193,0,190,2,504,1
20210509,甘肃省,193,0,191,2,505,0
20210510,甘肃省,193,0,191,2,506,0
20210511,甘肃省,193,0,191,2,507,0
20210512,甘肃省,193,0,191,2,508,0
20210513,甘肃省,193,0,191,2,509,0
20210514,甘肃省,193,0,191,2,510,0
20210515,甘肃省,193,0,191,2,511,0
20210516,甘肃省,193,0,191,2,512,0
20210517,甘肃省,193,0,191,2,513,0
20210518,甘肃省,193,0,191,2,514,0
20210519,甘肃省,193,0,191,2,515,0
20210520,甘肃省,193,0,191,2,516,0
20210521,甘肃省,193,0,191,2,517,0
20210522,甘肃省,193,0,191,2,518,0
20210523,甘肃省,194,0,191,2,519,1
20210524,甘肃省,194,0,191,2,520,1
20210525,甘肃省,194,0,191,2,521,1
20210526,甘肃省,194,0,191,2,522,1
20210527,甘肃省,194,0,191,2,523,1
20210528,甘肃省,194,0,191,2,524,1
20210529,甘肃省,194,0,192,2,525,0
20210530,甘肃省,194,0,192,2,526,0
20210531,甘肃省,194,0,192,2,527,0
20210601,甘肃省,194,0,192,2,528,0
20210602,甘肃省,194,0,192,2,529,0
20210603,甘肃省,194,0,192,2,530,0
20210604,甘肃省,194,0,192,2,531,0
20210605,甘肃省,194,0,192,2,532,0
20210606,甘肃省,194,0,192,2,533,0
20210607,甘肃省,194,0,192,2,534,0
20210608,甘肃省,194,0,192,2,535,0
20210609,甘肃省,194,0,192,2,536,0
20210610,甘肃省,194,0,192,2,537,0
20210611,甘肃省,194,0,192,2,538,0
20210612,甘肃省,194,0,192,2,539,0
20210613,甘肃省,194,0,192,2,540,0
20210614,甘肃省,194,0,192,2,541,0
20210615,甘肃省,194,0,192,2,542,0
20210616,甘肃省,194,0,192,2,543,0
20210617,甘肃省,194,0,192,2,544,0
20210618,甘肃省,194,0,192,2,545,0
20210619,甘肃省,194,0,192,2,546,0
20210620,甘肃省,194,0,192,2,547,0
20210621,甘肃省,194,0,192,2,548,0
20210622,甘肃省,194,0,192,2,549,0
20210623,甘肃省,194,0,192,2,550,0
20210624,甘肃省,195,0,192,2,551,1
20210625,甘肃省,195,0,192,2,552,1
20210626,甘肃省,195,0,192,2,553,1
20210627,甘肃省,195,0,192,2,554,1
20210628,甘肃省,195,0,192,2,555,1
20210629,甘肃省,195,0,192,2,556,1
20210630,甘肃省,195,0,192,2,557,1
20210701,甘肃省,195,0,192,2,558,1
20210702,甘肃省,195,0,192,2,559,1
20210703,甘肃省,195,0,193,2,560,0
20210704,甘肃省,195,0,193,2,561,0
20210705,甘肃省,195,0,193,2,562,0
20210706,甘肃省,195,0,193,2,563,0
20210707,甘肃省,195,0,193,2,564,0
20210708,甘肃省,195,0,193,2,565,0
20210709,甘肃省,195,0,193,2,566,0
20210710,甘肃省,195,0,193,2,567,0
20210711,甘肃省,195,0,193,2,568,0
20210712,甘肃省,195,0,193,2,569,0
20210713,甘肃省,195,0,193,2,570,0
20210714,甘肃省,195,0,193,2,571,0
20210715,甘肃省,195,0,193,2,572,0
20210716,甘肃省,195,0,193,2,573,0
20210717,甘肃省,195,0,193,2,574,0
20210718,甘肃省,196,0,193,2,575,1
20210719,甘肃省,196,0,193,2,576,1
20210720,甘肃省,197,0,193,2,577,2
20210721,甘肃省,197,0,193,2,578,2
20210722,甘肃省,197,0,193,2,579,2
20210723,甘肃省,197,0,193,2,580,2
20210724,甘肃省,198,0,193,2,581,3
20210725,甘肃省,198,0,193,2,582,3
20210726,甘肃省,198,0,193,2,583,3
20210727,甘肃省,199,0,193,2,584,4
20210728,甘肃省,199,0,193,2,585,4
20210729,甘肃省,199,0,193,2,586,4
20210730,甘肃省,199,0,193,2,587,4
20210731,甘肃省,199,0,193,2,588,4
20210801,甘肃省,199,0,193,2,589,4
20210802,甘肃省,199,0,193,2,590,4
20210803,甘肃省,199,0,193,2,591,4
20210804,甘肃省,199,0,193,2,592,4
20210805,甘肃省,199,0,193,2,593,4
20210806,甘肃省,199,0,193,2,594,4
20210807,甘肃省,199,0,193,2,595,4
20210808,甘肃省,199,0,193,2,596,4
20210809,甘肃省,199,0,193,2,597,4
20210810,甘肃省,199,0,193,2,598,4
20210811,甘肃省,199,0,194,2,599,3
20210812,甘肃省,199,0,194,2,600,3
20210813,甘肃省,199,0,194,2,601,3
20210814,甘肃省,199,0,195,2,602,2
20210815,甘肃省,199,0,195,2,603,2
20210816,甘肃省,199,0,195,2,604,2
20210817,甘肃省,199,0,195,2,605,2
20210818,甘肃省,199,0,195,2,606,2
20210819,甘肃省,199,0,196,2,607,1
20210820,甘肃省,199,0,196,2,608,1
20210821,甘肃省,199,0,196,2,609,1
20210822,甘肃省,199,0,196,2,610,1
20210823,甘肃省,199,0,196,2,611,1
20210824,甘肃省,199,0,196,2,612,1
20210825,甘肃省,199,0,196,2,613,1
20210826,甘肃省,199,0,197,2,614,0
20210827,甘肃省,199,0,197,2,615,0
20210828,甘肃省,199,0,197,2,616,0
20210829,甘肃省,199,0,197,2,617,0
20210830,甘肃省,199,0,197,2,618,0
20210831,甘肃省,199,0,197,2,619,0
20210901,甘肃省,199,0,197,2,620,0
20210902,甘肃省,199,0,197,2,621,0
20210903,甘肃省,199,0,197,2,622,0
20210904,甘肃省,199,0,197,2,623,0
20210905,甘肃省,199,0,197,2,624,0
20210906,甘肃省,199,0,197,2,625,0
20210907,甘肃省,199,0,197,2,626,0
20210908,甘肃省,199,0,197,2,627,0
20210909,甘肃省,199,0,197,2,628,0
20210910,甘肃省,199,0,197,2,629,0
20210911,甘肃省,199,0,197,2,630,0
20210912,甘肃省,199,0,197,2,631,0
20210913,甘肃省,199,0,197,2,632,0
20210914,甘肃省,199,0,197,2,633,0
20210915,甘肃省,199,0,197,2,634,0
20210916,甘肃省,199,0,197,2,635,0
20210917,甘肃省,199,0,197,2,636,0
20210918,甘肃省,199,0,197,2,637,0
20210919,甘肃省,199,0,197,2,638,0
20210920,甘肃省,199,0,197,2,639,0
20210921,甘肃省,199,0,197,2,640,0
20210922,甘肃省,199,0,197,2,641,0
20210923,甘肃省,199,0,197,2,642,0
20210924,甘肃省,199,0,197,2,643,0
20210925,甘肃省,199,0,197,2,644,0
20210926,甘肃省,199,0,197,2,645,0
20210927,甘肃省,199,0,197,2,646,0
20210928,甘肃省,199,0,197,2,647,0
20210929,甘肃省,199,0,197,2,648,0
20210930,甘肃省,199,0,197,2,649,0
20211001,甘肃省,199,0,197,2,650,0
20211002,甘肃省,199,0,197,2,651,0
20211003,甘肃省,199,0,197,2,652,0
20211004,甘肃省,199,0,197,2,653,0
20211005,甘肃省,199,0,197,2,654,0
20211006,甘肃省,199,0,197,2,655,0
20211007,甘肃省,199,0,197,2,656,0
20211008,甘肃省,199,0,197,2,657,0
20211009,甘肃省,199,0,197,2,658,0
20211010,甘肃省,199,0,197,2,659,0
20211011,甘肃省,199,0,197,2,660,0
20211012,甘肃省,199,0,197,2,661,0
20211013,甘肃省,199,0,197,2,662,0
20211014,甘肃省,199,0,197,2,663,0
20211015,甘肃省,199,0,197,2,664,0
20211016,甘肃省,199,0,197,2,665,0
20211017,甘肃省,199,0,197,2,666,0
20211018,甘肃省,200,0,197,2,667,1
20211019,甘肃省,204,0,197,2,668,5
20211020,甘肃省,209,0,197,2,669,10
20211021,甘肃省,218,0,197,2,670,19
20211022,甘肃省,235,0,197,2,671,36
20211023,甘肃省,241,0,198,2,672,41
20211024,甘肃省,245,0,198,2,673,45
20211025,甘肃省,251,0,198,2,674,51
20211026,甘肃省,255,0,198,2,675,55
20211027,甘肃省,263,0,198,2,676,63
20211028,甘肃省,275,0,198,2,677,75
20211029,甘肃省,286,0,198,2,678,86
20211030,甘肃省,295,0,198,2,679,95
20211031,甘肃省,305,0,198,2,680,105
20211101,甘肃省,313,0,198,2,681,113
20211102,甘肃省,327,0,198,2,682,127
20211103,甘肃省,329,0,201,2,683,126
20211104,甘肃省,334,0,201,2,684,131
20211105,甘肃省,336,0,201,2,685,133
20211106,甘肃省,338,0,211,2,686,125
20211107,甘肃省,340,0,218,2,687,120
20211108,甘肃省,344,0,231,2,688,111
20211109,甘肃省,344,0,231,2,689,111
20211110,甘肃省,344,0,231,2,690,111
20211111,甘肃省,344,0,239,2,691,103
20211112,甘肃省,344,0,241,2,692,101
20211113,甘肃省,344,0,247,2,693,95
20211114,甘肃省,344,0,247,2,694,95
20211115,甘肃省,344,0,258,2,695,84
20211116,甘肃省,344,0,271,2,696,71
20211117,甘肃省,344,0,284,2,697,58
20211118,甘肃省,344,0,294,2,698,48
20211119,甘肃省,344,0,300,2,699,42
20211120,甘肃省,344,0,300,2,700,42
20211121,甘肃省,344,0,336,2,701,6
